content_id,title,issue_type,location,suggestion,category,source_status,evidence_required,action
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,事实风险,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md:body,动态事实关键词 'hours'：需核对最新官方信息并注明日期,opening hours,NO_VERIFIED_SOURCE,官方场馆/运营方页面及核验日期,VERIFY_OR_REMOVE
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,事实风险,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md:body,动态事实关键词 'policy'：需核对最新官方信息并注明日期,law / regulation,NO_VERIFIED_SOURCE,官方法律法规原文或政府通知及生效日期,VERIFY_OR_REMOVE
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,事实风险,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md:body,动态事实关键词 'high-speed rail'：需核对最新官方信息并注明日期,transportation,NO_VERIFIED_SOURCE,官方运营方/线路页面及核验日期,VERIFY_OR_REMOVE
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,事实风险,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md:body,动态事实关键词 'visa'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,事实风险,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md:L19,价格/时间/营业信息: '8:00 AM'；需注明更新日期,unclassified,NO_VERIFIED_SOURCE,人工判断所需证据类型及核验日期,VERIFY_OR_REMOVE
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,事实风险,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md:L19,价格/时间/营业信息: '8:00 AM'；需注明更新日期,unclassified,NO_VERIFIED_SOURCE,人工判断所需证据类型及核验日期,VERIFY_OR_REMOVE
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,事实风险,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md:L21,价格/时间/营业信息: '7:45 AM'；需注明更新日期,unclassified,NO_VERIFIED_SOURCE,人工判断所需证据类型及核验日期,VERIFY_OR_REMOVE
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,事实风险,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md:L27,价格/时间/营业信息: '7:30 AM'；需注明更新日期,unclassified,NO_VERIFIED_SOURCE,人工判断所需证据类型及核验日期,VERIFY_OR_REMOVE
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide),AI幻觉,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md:L50,无来源数据: '200 RMB'；标注来源或移除,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide),事实风险,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md:body,动态事实关键词 'fee'：需核对最新官方信息并注明日期,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide),事实风险,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md:body,动态事实关键词 'visa'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide),事实风险,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md:body,动态事实关键词 'passport'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide),事实风险,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md:body,动态事实关键词 'policy'：需核对最新官方信息并注明日期,law / regulation,NO_VERIFIED_SOURCE,官方法律法规原文或政府通知及生效日期,VERIFY_OR_REMOVE
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide),事实风险,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md:body,动态事实关键词 'high-speed rail'：需核对最新官方信息并注明日期,transportation,NO_VERIFIED_SOURCE,官方运营方/线路页面及核验日期,VERIFY_OR_REMOVE
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide),事实风险,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md:body,动态事实关键词 'fees'：需核对最新官方信息并注明日期,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-707a8899c0a7,Can Foreigners Use WeChat Pay in China? (2026 Guide),事实风险,2026-05-22-how-to-use-wechat-pay-as-a-foreigner.md:body,动态事实关键词 'open'：需核对最新官方信息并注明日期,opening hours,NO_VERIFIED_SOURCE,官方场馆/运营方页面及核验日期,VERIFY_OR_REMOVE
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),AI幻觉,2026-05-25-china-high-speed-rail-how-to-book-tickets.md:L23,"无来源数据: '42,'；标注来源或移除",unclassified,NO_VERIFIED_SOURCE,人工判断所需证据类型及核验日期,VERIFY_OR_REMOVE
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),AI幻觉,2026-05-25-china-high-speed-rail-how-to-book-tickets.md:L23,无来源数据: '000km'；标注来源或移除,distances / durations,NO_VERIFIED_SOURCE,官方线路/地图/运营方文档及核验日期,VERIFY_OR_REMOVE
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),AI幻觉,2026-05-25-china-high-speed-rail-how-to-book-tickets.md:L23,无来源数据: '300km'；标注来源或移除,distances / durations,NO_VERIFIED_SOURCE,官方线路/地图/运营方文档及核验日期,VERIFY_OR_REMOVE
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),AI幻觉,2026-05-25-china-high-speed-rail-how-to-book-tickets.md:L25,无来源数据: '800km'；标注来源或移除,distances / durations,NO_VERIFIED_SOURCE,官方线路/地图/运营方文档及核验日期,VERIFY_OR_REMOVE
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),AI幻觉,2026-05-25-china-high-speed-rail-how-to-book-tickets.md:L38,无来源数据: '30 RMB'；标注来源或移除,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),AI幻觉,2026-05-25-china-high-speed-rail-how-to-book-tickets.md:L65,无来源数据: '350 km'；标注来源或移除,distances / durations,NO_VERIFIED_SOURCE,官方线路/地图/运营方文档及核验日期,VERIFY_OR_REMOVE
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),AI幻觉,2026-05-25-china-high-speed-rail-how-to-book-tickets.md:L65,无来源数据: '250 km'；标注来源或移除,distances / durations,NO_VERIFIED_SOURCE,官方线路/地图/运营方文档及核验日期,VERIFY_OR_REMOVE
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),AI幻觉,2026-05-25-china-high-speed-rail-how-to-book-tickets.md:L65,无来源数据: '160 km'；标注来源或移除,distances / durations,NO_VERIFIED_SOURCE,官方线路/地图/运营方文档及核验日期,VERIFY_OR_REMOVE
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),事实风险,2026-05-25-china-high-speed-rail-how-to-book-tickets.md:body,动态事实关键词 'cost'：需核对最新官方信息并注明日期,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),事实风险,2026-05-25-china-high-speed-rail-how-to-book-tickets.md:body,动态事实关键词 'fee'：需核对最新官方信息并注明日期,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),事实风险,2026-05-25-china-high-speed-rail-how-to-book-tickets.md:body,动态事实关键词 'visa'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),事实风险,2026-05-25-china-high-speed-rail-how-to-book-tickets.md:body,动态事实关键词 'passport'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),事实风险,2026-05-25-china-high-speed-rail-how-to-book-tickets.md:body,动态事实关键词 'opens'：需核对最新官方信息并注明日期,opening hours,NO_VERIFIED_SOURCE,官方场馆/运营方页面及核验日期,VERIFY_OR_REMOVE
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),事实风险,2026-05-25-china-high-speed-rail-how-to-book-tickets.md:body,动态事实关键词 'policy'：需核对最新官方信息并注明日期,law / regulation,NO_VERIFIED_SOURCE,官方法律法规原文或政府通知及生效日期,VERIFY_OR_REMOVE
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),事实风险,2026-05-25-china-high-speed-rail-how-to-book-tickets.md:body,动态事实关键词 'hours'：需核对最新官方信息并注明日期,opening hours,NO_VERIFIED_SOURCE,官方场馆/运营方页面及核验日期,VERIFY_OR_REMOVE
cbt-cc4549872c92,How to Book China High-Speed Train Tickets (2026),事实风险,2026-05-25-china-high-speed-rail-how-to-book-tickets.md:body,动态事实关键词 'charges'：需核对最新官方信息并注明日期,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,AI幻觉,2026-05-25-shanghai-bund-french-concession-2-day-guide.md:L37,无来源数据: '5km'；标注来源或移除,distances / durations,NO_VERIFIED_SOURCE,官方线路/地图/运营方文档及核验日期,VERIFY_OR_REMOVE
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,AI幻觉,2026-05-25-shanghai-bund-french-concession-2-day-guide.md:L105,无来源数据: '15 RMB'；标注来源或移除,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,事实风险,2026-05-25-shanghai-bund-french-concession-2-day-guide.md:body,动态事实关键词 'cost'：需核对最新官方信息并注明日期,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,事实风险,2026-05-25-shanghai-bund-french-concession-2-day-guide.md:body,动态事实关键词 'visa'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,事实风险,2026-05-25-shanghai-bund-french-concession-2-day-guide.md:body,动态事实关键词 'policy'：需核对最新官方信息并注明日期,law / regulation,NO_VERIFIED_SOURCE,官方法律法规原文或政府通知及生效日期,VERIFY_OR_REMOVE
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,事实风险,2026-05-25-shanghai-bund-french-concession-2-day-guide.md:body,动态事实关键词 'hours'：需核对最新官方信息并注明日期,opening hours,NO_VERIFIED_SOURCE,官方场馆/运营方页面及核验日期,VERIFY_OR_REMOVE
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,事实风险,2026-05-25-shanghai-bund-french-concession-2-day-guide.md:body,动态事实关键词 'high-speed rail'：需核对最新官方信息并注明日期,transportation,NO_VERIFIED_SOURCE,官方运营方/线路页面及核验日期,VERIFY_OR_REMOVE
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,事实风险,2026-05-25-shanghai-bund-french-concession-2-day-guide.md:body,动态事实关键词 'charge'：需核对最新官方信息并注明日期,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,事实风险,2026-05-25-shanghai-bund-french-concession-2-day-guide.md:body,动态事实关键词 '144-hour'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-302467d853db,Shanghai 48-Hour Guide: Bund & French Concession,事实风险,2026-05-25-shanghai-bund-french-concession-2-day-guide.md:body,动态事实关键词 'transit'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi",AI幻觉,2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md:L26,无来源数据: '70km'；标注来源或移除,distances / durations,NO_VERIFIED_SOURCE,官方线路/地图/运营方文档及核验日期,VERIFY_OR_REMOVE
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi",AI幻觉,2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md:L53,无来源数据: '14km'；标注来源或移除,distances / durations,NO_VERIFIED_SOURCE,官方线路/地图/运营方文档及核验日期,VERIFY_OR_REMOVE
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi",事实风险,2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md:body,动态事实关键词 'cost'：需核对最新官方信息并注明日期,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi",事实风险,2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md:body,动态事实关键词 'visa'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi",事实风险,2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md:body,动态事实关键词 'passport'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi",事实风险,2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md:body,动态事实关键词 'policy'：需核对最新官方信息并注明日期,law / regulation,NO_VERIFIED_SOURCE,官方法律法规原文或政府通知及生效日期,VERIFY_OR_REMOVE
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi",事实风险,2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md:body,动态事实关键词 'hours'：需核对最新官方信息并注明日期,opening hours,NO_VERIFIED_SOURCE,官方场馆/运营方页面及核验日期,VERIFY_OR_REMOVE
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi",事实风险,2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md:body,动态事实关键词 'high-speed rail'：需核对最新官方信息并注明日期,transportation,NO_VERIFIED_SOURCE,官方运营方/线路页面及核验日期,VERIFY_OR_REMOVE
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi",事实风险,2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md:body,动态事实关键词 '144-hour'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-c885da2cf5d9,"7-Day China Itinerary: Beijing, Xi",事实风险,2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers.md:body,动态事实关键词 'transit'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,AI幻觉,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md:L24,无来源数据: '40 billion'；标注来源或移除,unclassified,NO_VERIFIED_SOURCE,人工判断所需证据类型及核验日期,VERIFY_OR_REMOVE
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,AI幻觉,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md:L90,无来源数据: '1 yuan'；标注来源或移除,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,事实风险,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md:body,动态事实关键词 'cost'：需核对最新官方信息并注明日期,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,事实风险,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md:body,动态事实关键词 'costs'：需核对最新官方信息并注明日期,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,事实风险,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md:body,动态事实关键词 'visa'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,事实风险,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md:body,动态事实关键词 'policy'：需核对最新官方信息并注明日期,law / regulation,NO_VERIFIED_SOURCE,官方法律法规原文或政府通知及生效日期,VERIFY_OR_REMOVE
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,事实风险,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md:body,动态事实关键词 'hours'：需核对最新官方信息并注明日期,opening hours,NO_VERIFIED_SOURCE,官方场馆/运营方页面及核验日期,VERIFY_OR_REMOVE
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,事实风险,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md:body,动态事实关键词 'prices'：需核对最新官方信息并注明日期,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,事实风险,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md:body,动态事实关键词 'price'：需核对最新官方信息并注明日期,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-277de627eb2d,Hangzhou Travel Guide: West Lake & Tea Culture,事实风险,2026-05-26-hangzhou-west-lake-tea-culture-g20-guide.md:body,动态事实关键词 'high-speed rail'：需核对最新官方信息并注明日期,transportation,NO_VERIFIED_SOURCE,官方运营方/线路页面及核验日期,VERIFY_OR_REMOVE
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,AI幻觉,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md:L20,无来源数据: '800 RMB'；标注来源或移除,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,AI幻觉,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md:L22,无来源数据: '30 RMB'；标注来源或移除,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,AI幻觉,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md:L23,无来源数据: '150 RMB'；标注来源或移除,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,AI幻觉,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md:L24,无来源数据: '60 RMB'；标注来源或移除,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,事实风险,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md:body,动态事实关键词 'cost'：需核对最新官方信息并注明日期,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,事实风险,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md:body,动态事实关键词 'visa'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,事实风险,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md:body,动态事实关键词 'passport'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,事实风险,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md:body,动态事实关键词 'fare'：需核对最新官方信息并注明日期,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,事实风险,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md:body,动态事实关键词 'policy'：需核对最新官方信息并注明日期,law / regulation,NO_VERIFIED_SOURCE,官方法律法规原文或政府通知及生效日期,VERIFY_OR_REMOVE
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,事实风险,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md:body,动态事实关键词 'hours'：需核对最新官方信息并注明日期,opening hours,NO_VERIFIED_SOURCE,官方场馆/运营方页面及核验日期,VERIFY_OR_REMOVE
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,事实风险,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md:body,动态事实关键词 'price'：需核对最新官方信息并注明日期,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-673e981fe6f2,Is China Safe for Tourists in 2026? Honest Guide,事实风险,2026-05-26-is-china-safe-for-tourists-2026-honest-assessment.md:body,动态事实关键词 '144-hour'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-6f28480baea0,Chinese Train Stations: Survival Guide for Travelers,事实风险,2026-05-27-how-to-survive-chinese-train-station.md:body,动态事实关键词 'policy'：需核对最新官方信息并注明日期,law / regulation,NO_VERIFIED_SOURCE,官方法律法规原文或政府通知及生效日期,VERIFY_OR_REMOVE
